,full_text,user_id_str,image_url,location
0,@AREAJULID Udah hampir dua tahun belajar daring  Alhamdulillah negatif covid positif stupid,1146044966726066177,,"Bandung, Jawa Barat"
1,Selama belajar daring aku negatif covid tapi positif ga punya duit.,1254739904631721984,,
2,Ini bukan cerita baru lagi: para siswa  orangtua  dan guru jungkir balik mengikuti proses belajar jarak jauh via daring selama pandemi COVID-19. Sinyal internet bapuk  tak punya ponsel  susah mati beli pulsa dan kuota.  https://t.co/h1AvMqmK7R,4187275698,,Indonesia
3,Sahabat Demokrat  Ketua Fraksi Demokrat DPRD Jawa Barat Asep Wahyuwijaya  S.H. M.IPol  bersama tim relawannya BALAWA  meluncurkan program wifi gratis di wilayah Kabupaten Bogor  sebagai upaya membantu kegiatan belajar mengajar daring selama pandemi Covid-19.  #DemokratWifiGratis https://t.co/yvVvrqGR5M,248199104,https://pbs.twimg.com/media/EkwJCmHU0AE9Qq9.jpg,Jakarta Capital Region
4,aktifitas yang dibatasi selama PPKM  Kegiatan belajar mengajar masih dilakukan dengan daring. Kegiatan pada sektor esensial tetap dibuka 100% selama penerapan PPKM mikro. Disiplin Cegah Covid  #AyoDukungPPKM https://t.co/aBN01PVG8o,1069768794174681089,https://pbs.twimg.com/media/Et1eDyuUYAAIQoi.jpg,"Kota Makassar, Sulawesi Selata"
5,Putu Agung Suantara  siswa asal Desa Sepang  Busungbiu  Buleleng adalah satu dari sejumlah anak yang terdampak Covid-19. Putra pertama dari pasangan Ketut Dana Yasa dan Ni Komang Darini ngambek hilang sehari gara-gara tidak memiliki Hp untuk belajar daring/online.  @polda_bali https://t.co/3DFgJ1xYN7,138290629,https://pbs.twimg.com/ext_tw_video_thumb/1303927353295253505/pu/img/E6ZG5d65cX0a7HWm.jpg,
6,Sibuk Urusan Seragam aja!  Mikir Tidak? Di Masa Pandemi Corona - Covid 19 Begini   Banyak Anak Terancam Putus Sekolah  karena Ortu kehilangan pekerjaan! Banyak Anak Tak Mampu Belajar Daring Karena Tak ada Gadget! Cek di Panti² Asuhan yg Kurang Diperhatikan sana!  Pekok wes.. https://t.co/pJNcx8itcB,1219791786068959232,https://pbs.twimg.com/media/Etd4IOTVgAAAjy6.jpg,
7,Pandemi Covid Akibatkan Belajar Daring  Namun Wamenag Ingatkan Teknologi Tidak Dapat Gantikan Peran Pendidik - https://t.co/JSTEfwcwVk https://t.co/I1YsmgFp55,282125025,https://pbs.twimg.com/media/FBDeOHnUUAMOcbq.jpg,Palembang
8,Ketua DPR RI Puan Maharani  Pembelajaran secara online yang dilakukan sejak Pandemi Covid-19 dinilai telah mengakibatkan anak kehilangan kesempatan belajar.   Peran DPR  Selain itu  sekolah daring yang terlalu lama disebut mempengaruhi psikologis anak. https://t.co/9GEGVqYS4p,1290494259791933443,https://pbs.twimg.com/media/E92wojRVIAQQjiq.jpg,"DKI Jakarta, Indonesia"
9,Covid-19 Serang SMAN 8 Kota Malang  Wali Murid Resah  Kasek Putuskan Belajar Daring Penuh - https://t.co/kPjYXuOY5E https://t.co/c6JRkzXu86,3301326480,https://pbs.twimg.com/media/FKbZod2aUAMJJ1E.jpg,"Kota Malang, Jawa Timur"
10,Cegah Covid-19  Belajar Daring Kembali Diperpanjang #batanghari #jambi  https://t.co/1yKMbhh5T8,1046004922334887936,,"Jambi, Indonesia"
11,"Selamat Hari Guru Nasional 2021.  Dunia pendidikan ikut merasakan dampak dari pandemi Covid-19. Perubahan cara belajar mengajar yang dilakukan secara daring.   Tema Hari Guru tahun ini Bergerak dengan Hati  Pulihkan Pendidikan"".  #KemendesPDTT #HariGuruNasional2021 https://t.co/TYM725OguB""",802380540,https://pbs.twimg.com/media/FFArOihUYAUuabb.jpg,"DKI Jakarta, Indonesia"
